Gene_name	Locus_tag	NCBI_gene_ID	Uniprot_ID	Synonyms	Product_function	NDA_component
Rv3360	Rv3360	888136	O50389	RVBD_3360	hypothetical protein	Basal machinery
Rv3361c	Rv3361c	888130	I6YBX3	RVBD_3361c	hypothetical protein	Basal machinery
Rv3363c	Rv3363c	888090	O50392	RVBD_3363c	hypothetical protein	Basal machinery
Rv3364c	Rv3364c	888085	O50393	RVBD_3364c	hypothetical protein	Basal machinery
Rv3365c	Rv3365c	887652	Q93IG6	RVBD_3365c	hypothetical protein	Basal machinery
Rv3371	Rv3371	888053	P9WKA9	RVBD_3371	diacyglycerol O-acyltransferase	Basal machinery
Rv3376	Rv3376	888066	P9WMS5	RVBD_3376	phosphatase	Basal machinery
Rv3378c	Rv3378c	888075	P9WJ61	RVBD_3378c	diterpene synthase	Basal machinery
Rv3386	Rv3386	888044	O50413	RVBD_3386	transposase	Basal machinery
Rv3387	Rv3387	887820	O50414	RVBD_3387	transposase	Basal machinery
Rv3394c	Rv3394c	887945	O50419	RVBD_3394c	hypothetical protein	Basal machinery
Rv3395A	Rv3395A	3205044	Q6MWX4	RVBD_3395A	membrane protein	Basal machinery
Rv3395c	Rv3395c	887960	P9WKZ9	RVBD_3395c	hypothetical protein	Basal machinery
Rv3398c	Rv3398c	887919	P9WKH1	RVBD_3398c,idsA1	multifunctional dimethylallyltransferase/geranyltranstransferase/farnesylt ranstransferase	Basal machinery
Rv3399	Rv3399	887938	P9WFH1	RVBD_3399	S-adenosylmethionine-dependent methyltransferase	Basal machinery
Rv3400	Rv3400	887918	P9WKZ7	RVBD_3400	hydrolase	Basal machinery
