id,NDA,Color
tadA,Basal machinery,#3fea92
tadC,Basal machinery,#3fea92
tadB,Basal machinery,#3fea92
rlmM,Basal machinery,#3fea92
rlmJ,Basal machinery,#3fea92
rlmF,Basal machinery,#3fea92
infC,Basal machinery,#3fea92
infB,Basal machinery,#3fea92
infA,Basal machinery,#3fea92
PA2434,Basal machinery,#3fea92
PA5423,Basal machinery,#3fea92
PA2433,Basal machinery,#3fea92
PA3925,Basal machinery,#3fea92
PA3921,Basal machinery,#3fea92
PA5359,Basal machinery,#3fea92
PA5428,Basal machinery,#3fea92
rmlD,Basal machinery,#3fea92
fdx,M4,#8d67ce
PA3691,Basal machinery,#3fea92
PA1202,M11,#37ba93
PA1203,M11,#37ba93
PA1200,Basal machinery,#3fea92
PA1204,M11,#37ba93
PA1205,M11,#37ba93
PA1208,Basal machinery,#3fea92
grx,Basal machinery,#3fea92
hisH2,Basal machinery,#3fea92
toxR,M20.3,#c42f9f
murI,Basal machinery,#3fea92
pyrR,Basal machinery,#3fea92
nasA,Basal machinery,#3fea92
pyrG,Basal machinery,#3fea92
pyrF,Basal machinery,#3fea92
pyrE,Basal machinery,#3fea92
PA3747,Basal machinery,#3fea92
PA3740,Basal machinery,#3fea92
PA3749,Basal machinery,#3fea92
PA3748,Basal machinery,#3fea92
edd,M20.5,#62ef6e
PA4037,Basal machinery,#3fea92
cmpX,M20.11,#1aa353
PA3535.1,Basal machinery,#3fea92
PA0910,Basal machinery,#3fea92
PA1420,Basal machinery,#3fea92
PA0919,Basal machinery,#3fea92
PA0918,Basal machinery,#3fea92
PA0312,Basal machinery,#3fea92
PA0311,Basal machinery,#3fea92
PA0643,Basal machinery,#3fea92
PA3352,Basal machinery,#3fea92
PA3353,Basal machinery,#3fea92
PA3356,Basal machinery,#3fea92
PA3358,Basal machinery,#3fea92
PA3359,Basal machinery,#3fea92
fur,Global regulator,#f990ae
aguB,M29,#ceff21
aguA,M29,#ceff21
amgS,Basal machinery,#3fea92
psdR,Basal machinery,#3fea92
aguR,M29,#ceff21
nhaP,Basal machinery,#3fea92
nhaB,Basal machinery,#3fea92
PA4467,Basal machinery,#3fea92
folP,Basal machinery,#3fea92
fdxA,Basal machinery,#3fea92
folD,Basal machinery,#3fea92
folC,Basal machinery,#3fea92
folB,Basal machinery,#3fea92
folK,Basal machinery,#3fea92
rpoS,Global regulator,#f990ae
rpoC,Basal machinery,#3fea92
PA0467,Basal machinery,#3fea92
cdsA,Basal machinery,#3fea92
rpoH,Global regulator,#f990ae
PA0469,Basal machinery,#3fea92
rpoN,Global regulator,#f990ae
PA1994,Basal machinery,#3fea92
PA1995,Basal machinery,#3fea92
bfiS,M20.24,#8a85d1
bfiR,Basal machinery,#3fea92
PA1848,Basal machinery,#3fea92
PA3177,Basal machinery,#3fea92
rpsG,Basal machinery,#3fea92
rpsF,Basal machinery,#3fea92
rpsE,Basal machinery,#3fea92
rpsD,Basal machinery,#3fea92
PA4340,M20.33,#d1771d
PA4341,Basal machinery,#3fea92
PA1194,Basal machinery,#3fea92
PA4343,Basal machinery,#3fea92
nqrE,Basal machinery,#3fea92
nqrD,Basal machinery,#3fea92
PA1198,Basal machinery,#3fea92
PA1199,Basal machinery,#3fea92
PA5167,Basal machinery,#3fea92
PA5166,M20.28,#dcf27d
apt,Basal machinery,#3fea92
nqrB,Basal machinery,#3fea92
rpsU,Basal machinery,#3fea92
rpsS,Basal machinery,#3fea92
rpsR,Basal machinery,#3fea92
rpsQ,Basal machinery,#3fea92
rpsP,Basal machinery,#3fea92
nqrF,Basal machinery,#3fea92
nqrA,Basal machinery,#3fea92
PA1412,Basal machinery,#3fea92
prlC,Basal machinery,#3fea92
nqrC,Basal machinery,#3fea92
uraA,Basal machinery,#3fea92
narX,Basal machinery,#3fea92
PA5343,Basal machinery,#3fea92
PA5342,Basal machinery,#3fea92
PA2427,Basal machinery,#3fea92
narH,Basal machinery,#3fea92
narJ,Basal machinery,#3fea92
tal,Basal machinery,#3fea92
tam,Basal machinery,#3fea92
PA2429,Basal machinery,#3fea92
PA5438,M12,#f3b0f4
acpP1,M20.9,#f9a7c4
acpP2,Basal machinery,#3fea92
lpdV,M20.33,#d1771d
PA1211,Basal machinery,#3fea92
PA1213,Basal machinery,#3fea92
PA1036,Basal machinery,#3fea92
PA1215,Basal machinery,#3fea92
PA1214,Basal machinery,#3fea92
PA1217,Basal machinery,#3fea92
PA1216,Basal machinery,#3fea92
PA1219,Basal machinery,#3fea92
PA1218,Basal machinery,#3fea92
lpd3,Basal machinery,#3fea92
lecA,Basal machinery,#3fea92
lecB,Basal machinery,#3fea92
PA3771,Basal machinery,#3fea92
PA3774,M20.9,#f9a7c4
glpK2,Basal machinery,#3fea92
fleQ,Global regulator,#f990ae
PA2747,Basal machinery,#3fea92
fleS,Basal machinery,#3fea92
fleR,Basal machinery,#3fea92
PA0920,Basal machinery,#3fea92
PA0921,Basal machinery,#3fea92
PA0922,Basal machinery,#3fea92
PA0925,Basal machinery,#3fea92
fleN,M13,#cfef6e
PA1437,M33,#8eede9
rplX,Basal machinery,#3fea92
rplV,Basal machinery,#3fea92
